Date/Time,BLOCK TESTBLOCK STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK TESTBLOCK STOREY 1:Zone Mean Air Temperature [C](Hourly) 
 01/14  04:00:00,9.388479998490944,4.4513221240627429 
 01/14  05:00:00,9.167084359403575,4.103986105043805 
 01/14  06:00:00,8.92013003506242,3.731360190959781 
 01/14  07:00:00,8.716594921032826,3.3949058485976226 
 01/14  08:00:00,8.482883589443358,3.0286444699206855 
 01/14  09:00:00,9.040492552252357,3.484001362348308 
 01/14  10:00:00,10.750974626169791,5.073263849196368 
 01/14  11:00:00,12.004428079811314,6.240132503540476 
 01/14  12:00:00,12.56616425634533,6.803258084586185 
 01/14  13:00:00,13.305109136822864,7.490210588577387 
 01/14  14:00:00,13.599298148114919,7.859291154383596 
 01/14  15:00:00,14.242961856338228,8.578443362109312 
 01/14  16:00:00,14.797358046647389,9.16316841334687 
 01/14  17:00:00,14.02698813739305,8.519043003191264 
 01/14  18:00:00,12.2737414873984,6.884134851340037 
 01/14  19:00:00,11.415496243977707,6.117898281577646 
 01/14  20:00:00,10.855729550097444,5.617482665630656 
 01/14  21:00:00,10.491950598753613,5.265125393382509 
 01/14  22:00:00,10.038426478972309,4.805570628494522 
 01/14  23:00:00,9.741225707641096,4.458451692823733 
 01/14  24:00:00,9.442674390296493,4.091336013101104 
 01/15  01:00:00,9.193559431582912,3.7423452533936629 
 01/15  02:00:00,8.974449057545606,3.4049507650842689 
 01/15  03:00:00,8.765412547543719,3.0691351859513089 
 01/15  04:00:00,8.571384305970917,2.7518814796020858 
 01/15  05:00:00,8.375264271993693,2.427098620924596 
 01/15  06:00:00,8.209908919358292,2.1225667360583859 
 01/15  07:00:00,8.056707184391458,1.8373993425253972 
 01/15  08:00:00,7.918182861007086,1.5692160403065046 
 01/15  09:00:00,8.6246380669822,2.1852804981204985 
 01/15  10:00:00,10.467071750218672,3.798246118923071 
 01/15  11:00:00,11.764626018034495,5.200725718795271 
 01/15  12:00:00,12.438600574905376,5.875872444359564 
 01/15  13:00:00,13.292742035429633,6.7576493535773569 
 01/15  14:00:00,13.760766236486792,7.352044646349264 
 01/15  15:00:00,14.482499640807938,8.23514768007516 
 01/15  16:00:00,14.994579265799568,8.83426988216883 
 01/15  17:00:00,14.30666175612882,8.329330363849615 
 01/15  18:00:00,12.696672602222023,6.854393330047764 
 01/15  19:00:00,11.890837229880298,6.2193062604315 
 01/15  20:00:00,11.448558468777826,5.906760364937085 
 01/15  21:00:00,10.887356236702104,5.496018682188252 
 01/15  22:00:00,10.591576654633752,5.247339552208903 
 01/15  23:00:00,10.318265200043719,4.988148500835897 
 01/15  24:00:00,10.042457681213694,4.69996587084902 
 01/16  01:00:00,9.760736251383819,4.369966398141393 
 01/16  02:00:00,9.54035859743145,4.075631561108399 
 01/16  03:00:00,9.348807555612766,3.801018335055814 
 01/16  04:00:00,9.136482369458968,3.5036091473421266 
 01/16  05:00:00,8.920014638289685,3.2053791545854635 
 01/16  06:00:00,8.650899183755332,2.842677663021393 
 01/16  07:00:00,8.518988356569065,2.6021578172054715 
 01/16  08:00:00,8.416728412667446,2.382808522134758 
 01/16  09:00:00,9.125726293093907,3.019136531899963 
 01/16  10:00:00,11.049258914127816,4.694900582040618 
 01/16  11:00:00,12.405615737107475,6.271393012631233 
 01/16  12:00:00,13.231922891031122,7.095015846874161 
 01/16  13:00:00,14.159436148197776,8.089816849282635 
 01/16  14:00:00,14.660655336336854,8.7275965108062 
 01/16  15:00:00,15.499242007524384,9.74043821386858 
 01/16  16:00:00,15.85606220352866,10.297222366122768 
 01/16  17:00:00,15.237292116992892,9.819777616065398 
 01/16  18:00:00,13.611028057969719,8.402095398483043 
 01/16  19:00:00,12.774379544698752,7.738692937856086 
 01/16  20:00:00,12.194336422445645,7.340918169525802 
 01/16  21:00:00,11.798160836617918,7.052701854116656 
 01/16  22:00:00,11.352904187854186,6.709415813687308 
 01/16  23:00:00,11.076235237411629,6.4459004211962249 
