Date/Time,BLOCK BALCONY_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_3_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK STORAGE_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK BATHROOM_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly) 
 03/17  12:00:00,18.01757294687606,14.415069359458425,10.06421627989239,15.48130631307916,13.147099918808705,9.92420945688573,10.127124748389172,9.75788904326471 
 03/17  13:00:00,21.655483122467506,15.93805983457294,10.444612391589067,17.1188734835547,13.055555720839969,10.099304824464915,10.304023691018008,9.856909613037694 
 03/17  14:00:00,23.351117523732968,16.80629335430207,10.888556713755082,18.158900446106615,12.991493572669104,10.34267208779783,10.524284793415623,9.993017103101608 
 03/17  15:00:00,24.44776767977925,17.2438462295632,11.32379550821798,18.94439159072516,13.021437317833817,10.589042549081523,10.708389988804989,10.139937597420613 
 03/17  16:00:00,25.314559873888514,17.43005163722019,11.777620695976865,19.7867297328085,13.011199757270975,10.79599840664373,10.815500030075807,10.26583168737406 
 03/17  17:00:00,25.08880526100069,17.171932153721934,12.188355408793033,19.81938912891193,12.965084749740218,10.955799785150882,10.852203698560047,10.360335997845553 
 03/17  18:00:00,23.52595953701212,16.65151913527078,12.472130303090323,19.06731839657763,12.832444334582153,11.08209120817365,10.816152708772007,10.437911563794936 
 03/17  19:00:00,20.50064741203508,16.018824240889196,12.599296395139362,17.36145848072756,12.621688460302562,11.127391243635288,10.702753563609356,10.463763838165673 
 03/17  20:00:00,17.835150773428656,15.420423771487073,12.619498733571938,16.177094891102806,12.417191943889778,11.163163103804717,10.59409639929315,10.481175908403305 
 03/17  21:00:00,15.88340062579969,14.98870975427407,12.596401515353444,15.320452003916591,12.265466375827736,11.16006964984939,10.522697657361075,10.467998566013906 
 03/17  22:00:00,14.294462867465274,14.568553182745456,12.520299521220107,14.63151482151871,12.114878966477932,11.13329989805104,10.453149426788574,10.444027986169337 
 03/17  23:00:00,12.96323300016878,14.157707154230487,12.40143131611508,14.027994807478919,11.959654040830703,11.071793974583409,10.37775300773341,10.403543457429109 
 03/17  24:00:00,11.83129924090779,13.75962773934214,12.248255466525709,13.49025666565726,11.799471218560726,10.98188012811826,10.296141293981453,10.34722053713633 
 03/18  01:00:00,10.851710369597738,13.321389865785355,12.066714968991274,12.995732391867998,11.616350914146353,10.856037750876152,10.195746808172693,10.251962257217329 
 03/18  02:00:00,10.008498926367249,12.980395137624339,11.864851328853398,12.540800283788574,11.459172372558836,10.732157861665915,10.108277254021635,10.179896261159588 
 03/18  03:00:00,9.244319586141183,12.557972625919464,11.649166122738106,12.108286048816832,11.263269415412499,10.563457919352843,9.98818558346602,10.048154917286248 
 03/18  04:00:00,8.543916246055258,12.188886311469633,11.42739699997126,11.695803352199573,11.08068313701182,10.400659483461653,9.874717949229176,9.92876096028714 
 03/18  05:00:00,7.90766084452706,11.83342171467196,11.207221690722499,11.305060626750745,10.89745039391269,10.232841013539853,9.757891111535855,9.80717064255559 
 03/18  06:00:00,7.352093776205164,11.54800004326437,10.988757393460649,10.94490628718957,10.742969143920022,10.093964549923478,9.661722957537048,9.7251514653357 
 03/18  07:00:00,6.890321908052251,11.177241215566685,10.771886210477078,10.642822604764153,10.551754691912386,9.903297414864623,9.536335910633879,9.568046777739625 
 03/18  08:00:00,6.902540638158062,10.996481884508777,10.572185759344416,10.60021538038763,10.75349636881168,9.79490244912071,9.497733338190513,9.457747641002158 
 03/18  09:00:00,7.820378843835726,11.187816770580767,10.44891453752406,11.06672525347668,11.915621231333193,9.806172880284115,9.588852562449294,9.444378711718859 
 03/18  10:00:00,10.492289122764652,12.026273309676235,10.43173249338691,12.329735897018628,13.03762219373897,9.860976781018861,9.727385772559149,9.452280279754272 
 03/18  11:00:00,14.565657243936995,13.430737259253713,10.544981397616919,14.071696430788978,13.637468887354905,9.924839228862002,9.855503823117195,9.486078934434106 
 03/18  12:00:00,18.141535622439407,14.864876323274349,10.753320489976343,15.75549991825126,13.517332432721828,10.083049589605363,10.06787587198945,9.579766736192095 
 03/18  13:00:00,20.083448948350715,15.716416127273252,11.035224138872417,16.65634490810098,13.400410481281556,10.27506362021929,10.276878196265607,9.706110262919835 
 03/18  14:00:00,20.297358773011909,15.953747975651649,11.305523564887924,16.834506104640306,13.30757874771815,10.517188577401282,10.513121845936203,9.890127460775018 
 03/18  15:00:00,19.327825263330376,15.663830615396496,11.527974910379833,16.376761180749268,13.246122359969485,10.687310116521675,10.63360222124988,10.020723684660148 
