Date/Time,BLOCK TESTBLOCK STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK TESTBLOCK STOREY 1:Zone Mean Air Temperature [C](Hourly) 
 01/13  13:00:00,12.199023533874933,6.895330142180006 
 01/13  14:00:00,12.565160853913996,7.303564859966645 
 01/13  15:00:00,12.725984559797043,7.533648917900024 
 01/13  16:00:00,12.557025117605,7.495506407875305 
 01/13  17:00:00,12.20716526059911,7.26081827826963 
 01/13  18:00:00,11.897295286289058,7.039251979117852 
 01/13  19:00:00,11.649206758235673,6.89091704763349 
 01/13  20:00:00,11.473900598606889,6.808616251153469 
 01/13  21:00:00,11.301876549951342,6.709719878892851 
 01/13  22:00:00,11.191122139000532,6.629952901068931 
 01/13  23:00:00,11.119785904657004,6.562872407868692 
 01/13  24:00:00,11.058552722559899,6.490078121115524 
 01/14  01:00:00,11.0361584007421,6.453538514009695 
 01/14  02:00:00,11.02200794600157,6.420357020728633 
 01/14  03:00:00,11.002714773884739,6.375761152628068 
 01/14  04:00:00,10.903903837714358,6.245469282652616 
 01/14  05:00:00,10.762908241748307,6.067764746328689 
 01/14  06:00:00,10.302238790160909,5.782610106379465 
 01/14  07:00:00,10.385273660701854,5.712838316786778 
 01/14  08:00:00,10.448126169662445,5.656741575145937 
 01/14  09:00:00,10.075776318621223,5.4794963538861289 
 01/14  10:00:00,10.316418133532832,5.587639752866006 
 01/14  11:00:00,10.5819676329327,5.777043698274426 
 01/14  12:00:00,10.534803186617733,5.889318640057273 
 01/14  13:00:00,10.907217327123562,6.117345222344583 
 01/14  14:00:00,11.15426046981584,6.298580912111173 
 01/14  15:00:00,11.240678630290445,6.384106850566138 
 01/14  16:00:00,11.186376524727143,6.320994815378275 
 01/14  17:00:00,11.063587543421752,6.1716130439091929 
 01/14  18:00:00,10.937033077244342,6.014466052622351 
 01/14  19:00:00,10.791132050772545,5.874784838010483 
 01/14  20:00:00,10.645582975006274,5.741569788819679 
 01/14  21:00:00,10.4972083171988,5.594399998192268 
 01/14  22:00:00,10.436993874434263,5.512622654709355 
 01/14  23:00:00,10.41915859798869,5.464816451191541 
 01/14  24:00:00,10.387786073778436,5.399772508200286 
 01/15  01:00:00,10.295238183122042,5.284774199243674 
 01/15  02:00:00,10.1706343113047,5.1408201641077959 
 01/15  03:00:00,10.05533014187699,5.004120227629956 
 01/15  04:00:00,10.012082977532586,4.918040278722813 
 01/15  05:00:00,9.973651765060664,4.833251792016056 
 01/15  06:00:00,9.940988649662917,4.754185022817102 
 01/15  07:00:00,9.896646124055329,4.67075053654955 
 01/15  08:00:00,9.857560817243332,4.59568445099731 
 01/15  09:00:00,9.83706026798377,4.543786666466872 
 01/15  10:00:00,9.945528409190807,4.614700769271849 
 01/15  11:00:00,10.150821697625416,4.794422542077788 
 01/15  12:00:00,10.378392833732546,5.00888599755051 
 01/15  13:00:00,10.521620599265795,5.1700921465426499 
 01/15  14:00:00,10.592006862640436,5.266790305609619 
 01/15  15:00:00,10.590448333481643,5.294207063633395 
 01/15  16:00:00,10.482797704663968,5.215750347002914 
 01/15  17:00:00,10.285032003518957,5.049756258986729 
 01/15  18:00:00,10.088663563597134,4.88470663256654 
 01/15  19:00:00,9.991825728119287,4.801476848193434 
 01/15  20:00:00,9.936782694046763,4.750685515870566 
 01/15  21:00:00,9.896677873590554,4.701835285205047 
 01/15  22:00:00,9.778777478446719,4.590876588284161 
 01/15  23:00:00,9.628381061978946,4.440303691096291 
 01/15  24:00:00,9.48231785339614,4.285335798334186 
 01/16  01:00:00,9.312854470793349,4.092124601831405 
 01/16  02:00:00,9.133414990668057,3.876598038010702 
 01/16  03:00:00,8.951002249797064,3.650236783437451 
 01/16  04:00:00,8.778845128758512,3.438311046528137 
 01/16  05:00:00,8.607534766585827,3.2260043308296915 
 01/16  06:00:00,8.435118258958625,3.0007596447995819 
 01/16  07:00:00,8.279565241612444,2.771891227828202 
 01/16  08:00:00,8.132537683263044,2.5389167353722015 
 01/16  09:00:00,8.273620922233459,2.6148243046992225 
 01/16  10:00:00,9.833184525514664,4.104495639673946 
 01/16  11:00:00,11.06294179461379,5.50082051760409 
 01/16  12:00:00,11.628305653335865,6.121977477102993 
 01/16  13:00:00,12.34704703866607,6.909092294874382 
 01/16  14:00:00,12.612172124850469,7.2467042684796809 
 01/16  15:00:00,13.144082163946412,7.866606207523505 
 01/16  16:00:00,13.353650963356554,8.132495377409413 
 01/16  17:00:00,12.558297398562708,7.417052391385859 
 01/16  18:00:00,11.349026487276355,6.226445508564662 
 01/16  19:00:00,10.700854707305247,5.631145356347066 
 01/16  20:00:00,10.305620128945457,5.269232226203407 
 01/16  21:00:00,9.85662350387701,4.828671205219621 
 01/16  22:00:00,9.622611762816132,4.559149703283878 
 01/16  23:00:00,9.404564643037862,4.279038894534395 
 01/16  24:00:00,9.203769322431084,4.001256154221574 
 01/17  01:00:00,8.999287963880132,3.7124311931705256 
 01/17  02:00:00,8.792615441364257,3.413682244610448 
 01/17  03:00:00,8.605536835733253,3.132749407143321 
 01/17  04:00:00,8.50448347965922,2.91653050367329 
 01/17  05:00:00,8.445705426182079,2.7261037662460168 
 01/17  06:00:00,8.389636741195478,2.5355724015757934 
 01/17  07:00:00,8.30648730977795,2.306044947388079 
 01/17  08:00:00,8.213303630598612,2.0637726330546606 
 01/17  09:00:00,8.191811361173077,1.9053896347678055 
 01/17  10:00:00,8.638514582746291,2.2535178583484924 
 01/17  11:00:00,9.562764890089696,3.1326478707995846 
 01/17  12:00:00,10.696474060226166,4.2665280738496469 
 01/17  13:00:00,11.345636814312283,4.979409972595442 
 01/17  14:00:00,11.89204119896181,5.643617357936064 
 01/17  15:00:00,12.28431959730246,6.144739918444653 
 01/17  16:00:00,12.76239248915223,6.763466314316629 
 01/17  17:00:00,11.971081803940783,6.1186404776208909 
 01/17  18:00:00,10.907630156779652,5.125186647363799 
 01/17  19:00:00,10.207489194359987,4.536029980900738 
 01/17  20:00:00,9.537817763773872,4.002787609678512 
 01/17  21:00:00,9.59076202060234,4.067350449580561 
 01/17  22:00:00,9.585539772177589,4.035670898137361 
 01/17  23:00:00,9.375184493046119,3.8223402403421686 
 01/17  24:00:00,9.133231211896066,3.579497480606134 
 01/18  01:00:00,8.905717507408183,3.3141980968041016 
 01/18  02:00:00,8.690813091090503,3.0381045681271887 
